ShardsBefore	ShardsAfter	LostKeysPercent
1	1	00.00%
1	2	50.00%
1	3	66.67%
1	4	75.00%
1	5	79.99%
1	6	83.35%
1	7	85.68%
1	8	87.50%
1	9	88.85%
1	10	89.97%
1	11	90.89%
1	12	91.65%
1	13	92.33%
1	14	92.86%
1	15	93.34%
1	16	93.74%
1	17	94.13%
1	18	94.43%
1	19	94.73%
1	20	94.99%
2	1	50.00%
2	2	00.00%
2	3	66.65%
2	4	50.00%
2	5	80.00%
2	6	66.65%
2	7	85.73%
2	8	75.00%
2	9	88.86%
2	10	80.00%
2	11	90.88%
2	12	83.29%
2	13	92.33%
2	14	85.73%
2	15	93.34%
2	16	87.48%
2	17	94.12%
2	18	88.86%
2	19	94.69%
2	20	90.00%
3	1	66.67%
3	2	66.65%
3	3	00.00%
3	4	74.97%
3	5	80.04%
3	6	50.00%
3	7	85.74%
3	8	87.49%
3	9	66.64%
3	10	90.03%
3	11	90.89%
3	12	74.97%
3	13	92.34%
3	14	92.86%
3	15	80.04%
3	16	93.72%
3	17	94.13%
3	18	83.32%
3	19	94.72%
3	20	95.01%
4	1	75.00%
4	2	50.00%
4	3	74.97%
4	4	00.00%
4	5	80.03%
4	6	66.64%
4	7	85.71%
4	8	50.00%
4	9	88.88%
4	10	80.03%
4	11	90.88%
4	12	66.64%
4	13	92.30%
4	14	85.71%
4	15	93.36%
4	16	74.95%
4	17	94.09%
4	18	88.88%
4	19	94.73%
4	20	80.03%
5	1	79.99%
5	2	80.00%
5	3	80.04%
5	4	80.03%
5	5	00.00%
5	6	83.35%
5	7	85.72%
5	8	87.53%
5	9	88.86%
5	10	50.05%
5	11	90.91%
5	12	91.68%
5	13	92.32%
5	14	92.87%
5	15	66.70%
5	16	93.77%
5	17	94.11%
5	18	94.42%
5	19	94.74%
5	20	75.06%
6	1	83.35%
6	2	66.65%
6	3	50.00%
6	4	66.64%
6	5	83.35%
6	6	00.00%
6	7	85.66%
6	8	75.02%
6	9	66.63%
6	10	80.03%
6	11	90.89%
6	12	50.04%
6	13	92.30%
6	14	85.66%
6	15	80.03%
6	16	87.46%
6	17	94.11%
6	18	66.63%
6	19	94.71%
6	20	90.04%
7	1	85.68%
7	2	85.73%
7	3	85.74%
7	4	85.71%
7	5	85.72%
7	6	85.66%
7	7	00.00%
7	8	87.50%
7	9	88.85%
7	10	90.01%
7	11	90.92%
7	12	91.64%
7	13	92.31%
7	14	50.01%
7	15	93.31%
7	16	93.74%
7	17	94.14%
7	18	94.42%
7	19	94.71%
7	20	95.00%
8	1	87.50%
8	2	75.00%
8	3	87.49%
8	4	50.00%
8	5	87.53%
8	6	75.02%
8	7	87.50%
8	8	00.00%
8	9	88.84%
8	10	80.07%
8	11	90.89%
8	12	66.68%
8	13	92.31%
8	14	85.72%
8	15	93.37%
8	16	49.91%
8	17	94.11%
8	18	88.84%
8	19	94.73%
8	20	80.07%
9	1	88.85%
9	2	88.86%
9	3	66.64%
9	4	88.88%
9	5	88.86%
9	6	66.63%
9	7	88.85%
9	8	88.84%
9	9	00.00%
9	10	89.97%
9	11	90.88%
9	12	74.99%
9	13	92.35%
9	14	92.84%
9	15	79.96%
9	16	93.70%
9	17	94.12%
9	18	49.97%
9	19	94.73%
9	20	94.99%
10	1	89.97%
10	2	80.00%
10	3	90.03%
10	4	80.03%
10	5	50.05%
10	6	80.03%
10	7	90.01%
