ShardsBefore	ShardsAfter	LostKeysPercent
6	28	92.83%
6	29	96.55%
6	30	80.03%
6	31	96.78%
6	32	93.72%
7	1	85.68%
7	2	85.73%
7	3	85.74%
7	4	85.71%
7	5	85.72%
7	6	85.66%
7	7	00.00%
7	8	87.50%
7	9	88.85%
7	10	90.01%
7	11	90.92%
7	12	91.64%
7	13	92.31%
7	14	50.01%
7	15	93.31%
7	16	93.74%
7	17	94.14%
7	18	94.42%
7	19	94.71%
7	20	95.00%
7	21	66.57%
7	22	95.44%
7	23	95.68%
7	24	95.84%
7	25	95.98%
7	26	96.17%
7	27	96.27%
7	28	74.98%
7	29	96.55%
7	30	96.67%
7	31	96.77%
7	32	96.86%
8	1	87.50%
8	2	75.00%
8	3	87.49%
8	4	50.00%
8	5	87.53%
8	6	75.02%
8	7	87.50%
8	8	00.00%
8	9	88.84%
8	10	80.07%
8	11	90.89%
8	12	66.68%
8	13	92.31%
8	14	85.72%
8	15	93.37%
8	16	49.91%
8	17	94.11%
8	18	88.84%
8	19	94.73%
8	20	80.07%
8	21	95.23%
8	22	90.89%
8	23	95.70%
8	24	66.68%
8	25	96.00%
8	26	92.31%
8	27	96.25%
8	28	85.72%
8	29	96.56%
8	30	93.37%
8	31	96.77%
8	32	74.95%
9	1	88.85%
9	2	88.86%
9	3	66.64%
9	4	88.88%
9	5	88.86%
9	6	66.63%
9	7	88.85%
9	8	88.84%
9	9	00.00%
9	10	89.97%
9	11	90.88%
9	12	74.99%
9	13	92.35%
9	14	92.84%
9	15	79.96%
9	16	93.70%
9	17	94.12%
9	18	49.97%
9	19	94.73%
9	20	94.99%
9	21	85.70%
9	22	95.44%
9	23	95.67%
9	24	87.44%
9	25	96.01%
9	26	96.16%
9	27	66.57%
9	28	96.41%
9	29	96.52%
9	30	89.97%
9	31	96.77%
9	32	96.85%
10	1	89.97%
10	2	80.00%
10	3	90.03%
10	4	80.03%
10	5	50.05%
10	6	80.03%
10	7	90.01%
10	8	80.07%
10	9	89.97%
10	10	00.00%
10	11	90.91%
10	12	83.38%
10	13	92.31%
10	14	85.72%
10	15	66.67%
10	16	87.57%
10	17	94.13%
10	18	88.84%
10	19	94.74%
10	20	50.08%
10	21	95.24%
10	22	90.91%
10	23	95.66%
10	24	91.70%
10	25	79.96%
10	26	92.31%
10	27	96.26%
10	28	92.86%
10	29	96.55%
10	30	66.67%
10	31	96.78%
10	32	93.77%
11	1	90.89%
11	2	90.88%
11	3	90.89%
11	4	90.88%
11	5	90.91%
11	6	90.89%
11	7	90.92%
11	8	90.89%
11	9	90.88%
11	10	90.91%
11	11	00.00%
11	12	91.64%
11	13	92.28%
11	14	92.83%
11	15	93.34%
11	16	93.74%
11	17	94.14%
11	18	94.43%
11	19	94.77%
11	20	95.03%
11	21	95.24%
11	22	49.93%
11	23	95.66%
11	24	95.80%
11	25	95.97%
11	26	96.11%
11	27	96.28%
11	28	96.39%
11	29	96.56%
11	30	96.67%
11	31	96.75%
11	32	96.86%
12	1	91.65%
12	2	83.29%
12	3	74.97%
12	4	66.64%
12	5	91.68%
12	6	50.04%
12	7	91.64%
12	8	66.68%
12	9	74.99%
12	10	83.38%
12	11	91.64%
12	12	00.00%
12	13	92.30%
12	14	85.70%
12	15	80.05%
12	16	74.92%
12	17	94.14%
12	18	66.61%
12	19	94.73%
12	20	80.05%
12	21	85.70%
12	22	90.89%
12	23	95.62%
12	24	49.95%
12	25	96.00%
12	26	92.30%
12	27	88.85%
12	28	85.70%
12	29	96.56%
12	30	80.05%
12	31	96.78%
12	32	87.47%
13	1	92.33%
13	2	92.33%
13	3	92.34%
13	4	92.30%
13	5	92.32%
13	6	92.30%
13	7	92.31%
13	8	92.31%
13	9	92.35%
13	10	92.31%
13	11	92.28%
13	12	92.30%
13	13	00.00%
13	14	92.88%
13	15	93.31%
13	16	93.73%
13	17	94.12%
13	18	94.45%
13	19	94.73%
13	20	95.00%
13	21	95.25%
13	22	95.41%
13	23	95.65%
13	24	95.82%
13	25	95.99%
13	26	49.99%
13	27	96.31%
13	28	96.46%
13	29	96.55%
13	30	96.66%
13	31	96.77%
13	32	96.87%
14	1	92.86%
14	2	85.73%
14	3	92.86%
14	4	85.71%
14	5	92.87%
14	6	85.66%
14	7	50.01%
14	8	85.72%
14	9	92.84%
14	10	85.72%
14	11	92.83%
14	12	85.70%
14	13	92.88%
14	14	00.00%
14	15	93.36%
14	16	87.50%
14	17	94.12%
14	18	88.89%
14	19	94.74%
14	20	90.02%
14	21	66.68%
14	22	90.88%
14	23	95.64%
14	24	91.64%
14	25	95.99%
14	26	92.33%
14	27	96.29%
14	28	49.98%
14	29	96.54%
14	30	93.36%
14	31	96.78%
14	32	93.75%
15	1	93.34%
15	2	93.34%
15	3	80.04%
15	4	93.36%
15	5	66.70%
15	6	80.03%
15	7	93.31%
15	8	93.37%
15	9	79.96%
15	10	66.67%
15	11	93.34%
15	12	80.05%
15	13	93.31%
15	14	93.36%
15	15	00.00%
15	16	93.77%
15	17	94.12%
15	18	83.32%
15	19	94.71%
15	20	75.03%
15	21	85.73%
15	22	95.48%
15	23	95.66%
15	24	87.52%
15	25	79.99%
15	26	96.14%
15	27	88.88%
15	28	96.43%
15	29	96.51%
15	30	50.06%
15	31	96.78%
15	32	96.89%
16	1	93.74%
16	2	87.48%
16	3	93.72%
16	4	74.95%
16	5	93.77%
16	6	87.46%
16	7	93.74%
16	8	49.91%
16	9	93.70%
16	10	87.57%
16	11	93.74%
16	12	74.92%
16	13	93.73%
16	14	87.50%
16	15	93.77%
16	16	00.00%
16	17	94.09%
16	18	88.80%
16	19	94.73%
16	20	80.07%
16	21	95.21%
16	22	90.92%
16	23	95.67%
16	24	66.58%
16	25	95.97%
16	26	92.31%
16	27	96.25%
16	28	85.71%
16	29	96.57%
16	30	93.35%
16	31	96.79%
16	32	50.00%
17	1	94.13%
17	2	94.12%
17	3	94.13%
17	4	94.09%
17	5	94.11%
17	6	94.11%
17	7	94.14%
17	8	94.11%
17	9	94.12%
17	10	94.13%
17	11	94.14%
17	12	94.14%
17	13	94.12%
17	14	94.12%
17	15	94.12%
17	16	94.09%
17	17	00.00%
17	18	94.45%
17	19	94.74%
17	20	95.00%
17	21	95.26%
17	22	95.48%
17	23	95.65%
17	24	95.83%
17	25	95.96%
17	26	96.14%
17	27	96.32%
17	28	96.42%
17	29	96.55%
17	30	96.70%
17	31	96.75%
17	32	96.85%
18	1	94.43%
18	2	88.86%
18	3	83.32%
18	4	88.88%
18	5	94.42%
18	6	66.63%
18	7	94.42%
18	8	88.84%
18	9	49.97%
18	10	88.84%
18	11	94.43%
18	12	66.61%
18	13	94.45%
18	14	88.89%
18	15	83.32%
18	16	88.80%
18	17	94.45%
18	18	00.00%
18	19	94.73%
18	20	90.00%
18	21	85.70%
18	22	90.90%
18	23	95.63%
18	24	74.89%
18	25	96.00%
18	26	92.29%
18	27	66.61%
18	28	92.83%
18	29	96.55%
18	30	80.00%
18	31	96.74%
18	32	93.72%
19	1	94.73%
19	2	94.69%
19	3	94.72%
19	4	94.73%
19	5	94.74%
19	6	94.71%
19	7	94.71%
19	8	94.73%
19	9	94.73%
19	10	94.74%
19	11	94.77%
19	12	94.73%
19	13	94.73%
19	14	94.74%
19	15	94.71%
19	16	94.73%
19	17	94.74%
19	18	94.73%
19	19	00.00%
19	20	94.99%
19	21	95.25%
19	22	95.47%
19	23	95.63%
19	24	95.83%
19	25	96.02%
19	26	96.18%
19	27	96.29%
19	28	96.45%
19	29	96.56%
19	30	96.66%
19	31	96.75%
19	32	96.88%
20	1	94.99%
20	2	90.00%
20	3	95.01%
20	4	80.03%
20	5	75.06%
20	6	90.04%
20	7	95.00%
20	8	80.07%
20	9	94.99%
20	10	50.08%
20	11	95.03%
20	12	80.05%
20	13	95.00%
20	14	90.02%
20	15	75.03%
20	16	80.07%
20	17	95.00%
20	18	90.00%
20	19	94.99%
20	20	00.00%
20	21	95.23%
20	22	90.96%
20	23	95.68%
20	24	83.37%
20	25	79.95%
20	26	92.29%
20	27	96.27%
20	28	85.71%
20	29	96.57%
20	30	66.72%
20	31	96.77%
20	32	87.51%
21	1	95.24%
21	2	95.23%
21	3	85.74%
21	4	95.24%
21	5	95.25%
21	6	85.66%
21	7	66.57%
21	8	95.23%
21	9	85.70%
21	10	95.24%
21	11	95.24%
21	12	85.70%
21	13	95.25%
21	14	66.68%
21	15	85.73%
21	16	95.21%
21	17	95.26%
21	18	85.70%
21	19	95.25%
21	20	95.23%
21	21	00.00%
21	22	95.45%
21	23	95.64%
21	24	87.45%
21	25	95.99%
21	26	96.18%
21	27	88.88%
21	28	74.95%
21	29	96.55%
21	30	90.01%
21	31	96.76%
21	32	96.86%
22	1	95.42%
22	2	90.88%
22	3	95.43%
22	4	90.88%
22	5	95.45%
22	6	90.89%
22	7	95.44%
22	8	90.89%
22	9	95.44%
22	10	90.91%
22	11	49.93%
22	12	90.89%
22	13	95.41%
22	14	90.88%
22	15	95.48%
22	16	90.92%
22	17	95.48%
22	18	90.90%
22	19	95.47%
22	20	90.96%
22	21	95.45%
22	22	00.00%
22	23	95.66%
22	24	91.65%
22	25	95.99%
22	26	92.28%
22	27	96.32%
22	28	92.81%
22	29	96.57%
22	30	93.37%
22	31	96.73%
22	32	93.74%
23	1	95.71%
23	2	95.68%
23	3	95.68%
23	4	95.73%
23	5	95.70%
23	6	95.64%
23	7	95.68%
23	8	95.70%
23	9	95.67%
23	10	95.66%
23	11	95.66%
23	12	95.62%
23	13	95.65%
23	14	95.64%
23	15	95.66%
23	16	95.67%
23	17	95.65%
23	18	95.63%
23	19	95.63%
23	20	95.68%
23	21	95.64%
23	22	95.66%
23	23	00.00%
23	24	95.84%
23	25	96.02%
23	26	96.14%
23	27	96.29%
23	28	96.42%
23	29	96.57%
23	30	96.66%
23	31	96.79%
23	32	96.89%
24	1	95.82%
24	2	91.64%
24	3	87.49%
24	4	83.33%
24	5	95.85%
24	6	75.02%
24	7	95.84%
24	8	66.68%
24	9	87.44%
24	10	91.70%
24	11	95.80%
24	12	49.95%
24	13	95.82%
24	14	91.64%
24	15	87.52%
24	16	66.58%
24	17	95.83%
24	18	74.89%
24	19	95.83%
24	20	83.37%
24	21	87.45%
24	22	91.65%
24	23	95.84%
24	24	00.00%
24	25	95.99%
24	26	92.30%
24	27	88.76%
24	28	85.67%
24	29	96.55%
24	30	80.03%
24	31	96.77%
24	32	74.95%
25	1	96.01%
25	2	96.01%
25	3	96.01%
25	4	96.00%
25	5	80.03%
25	6	96.00%
25	7	95.98%
25	8	96.00%
25	9	96.01%
25	10	79.96%
25	11	95.97%
25	12	96.00%
25	13	95.99%
25	14	95.99%
25	15	79.99%
25	16	95.97%
25	17	95.96%
25	18	96.00%
25	19	96.02%
25	20	79.95%
25	21	95.99%
25	22	95.99%
25	23	96.02%
25	24	95.99%
25	25	00.00%
25	26	96.13%
25	27	96.30%
25	28	96.40%
25	29	96.53%
25	30	83.34%
25	31	96.76%
25	32	96.84%
26	1	96.17%
26	2	92.33%
26	3	96.17%
26	4	92.30%
26	5	96.16%
26	6	92.30%
26	7	96.17%
26	8	92.31%
26	9	96.16%
26	10	92.31%
26	11	96.11%
26	12	92.30%
26	13	49.99%
26	14	92.33%
26	15	96.14%
26	16	92.31%
26	17	96.14%
26	18	92.29%
26	19	96.18%
26	20	92.29%
26	21	96.18%
26	22	92.28%
26	23	96.14%
26	24	92.30%
26	25	96.13%
26	26	00.00%
26	27	96.31%
26	28	92.91%
26	29	96.52%
26	30	93.31%
26	31	96.78%
26	32	93.75%
27	1	96.26%
27	2	96.24%
27	3	88.82%
27	4	96.28%
27	5	96.29%
27	6	88.85%
27	7	96.27%
27	8	96.25%
27	9	66.57%
27	10	96.26%
27	11	96.28%
27	12	88.85%
27	13	96.31%
27	14	96.29%
27	15	88.88%
27	16	96.25%
27	17	96.32%
27	18	66.61%
27	19	96.29%
27	20	96.27%
27	21	88.88%
27	22	96.32%
27	23	96.29%
27	24	88.76%
27	25	96.30%
27	26	96.31%
27	27	00.00%
27	28	96.45%
27	29	96.52%
27	30	89.97%
27	31	96.81%
27	32	96.85%
28	1	96.43%
28	2	92.87%
28	3	96.42%
28	4	85.71%
28	5	96.43%
28	6	92.83%
28	7	74.98%
28	8	85.72%
28	9	96.41%
28	10	92.86%
28	11	96.39%
28	12	85.70%
28	13	96.46%
28	14	49.98%
28	15	96.43%
28	16	85.71%
28	17	96.42%
28	18	92.83%
28	19	96.45%
28	20	85.71%
28	21	74.95%
28	22	92.81%
28	23	96.42%
28	24	85.67%
28	25	96.40%
28	26	92.91%
28	27	96.45%
28	28	00.00%
28	29	96.56%
28	30	93.31%
28	31	96.76%
28	32	87.49%
29	1	96.56%
29	2	96.56%
29	3	96.57%
29	4	96.59%
29	5	96.56%
29	6	96.55%
29	7	96.55%
29	8	96.56%
29	9	96.52%
29	10	96.55%
29	11	96.56%
29	12	96.56%
29	13	96.55%
29	14	96.54%
29	15	96.51%
29	16	96.57%
29	17	96.55%
29	18	96.55%
29	19	96.56%
29	20	96.57%
29	21	96.55%
29	22	96.57%
29	23	96.57%
29	24	96.55%
29	25	96.53%
29	26	96.52%
29	27	96.52%
29	28	96.56%
29	29	00.00%
29	30	96.64%
29	31	96.79%
29	32	96.88%
30	1	96.66%
30	2	93.34%
30	3	90.03%
30	4	93.36%
30	5	83.35%
30	6	80.03%
30	7	96.67%
30	8	93.37%
30	9	89.97%
30	10	66.67%
30	11	96.67%
30	12	80.05%
30	13	96.66%
30	14	93.36%
30	15	50.06%
30	16	93.35%
30	17	96.70%
30	18	80.00%
30	19	96.66%
30	20	66.72%
30	21	90.01%
30	22	93.37%
30	23	96.66%
30	24	80.03%
30	25	83.34%
30	26	93.31%
30	27	89.97%
30	28	93.31%
30	29	96.64%
30	30	00.00%
30	31	96.76%
30	32	93.75%
31	1	96.76%
31	2	96.77%
31	3	96.77%
31	4	96.77%
31	5	96.79%
31	6	96.78%
31	7	96.77%
31	8	96.77%
31	9	96.77%
31	10	96.78%
31	11	96.75%
31	12	96.78%
31	13	96.77%
31	14	96.78%
31	15	96.78%
31	16	96.79%
31	17	96.75%
31	18	96.74%
31	19	96.75%
31	20	96.77%
31	21	96.76%
31	22	96.73%
31	23	96.79%
31	24	96.77%
31	25	96.76%
31	26	96.78%
31	27	96.81%
31	28	96.76%
31	29	96.79%
31	30	96.76%
31	31	00.00%
31	32	96.88%
32	1	96.87%
32	2	93.73%
32	3	96.84%
32	4	87.48%
32	5	96.89%
32	6	93.72%
32	7	96.86%
32	8	74.95%
32	9	96.85%
32	10	93.77%
32	11	96.86%
32	12	87.47%
32	13	96.87%
32	14	93.75%
32	15	96.89%
32	16	50.00%
32	17	96.85%
32	18	93.72%
32	19	96.88%
32	20	87.51%
32	21	96.86%
32	22	93.74%
32	23	96.89%
32	24	74.95%
32	25	96.84%
32	26	93.75%
32	27	96.85%
32	28	87.49%
32	29	96.88%
32	30	93.75%
32	31	96.88%
32	32	00.00%
